지역,발전량(GWh),재생에너지(GWh),부하량(GWh),밸런스(GWh),재생에너지비율(%)
SEL,19439.045997194233,539.0459971718319,78299.02538309811,-58859.97938590388,2.7730064389458
ICN,87366.60688687112,2395.759987430314,56234.30004786136,31132.306839009754,2.742191865746286
GGD,40889.64554348975,4249.851596295156,135238.31657080585,-94348.6710273161,10.393466462738257
GWD,51243.15400959252,6133.312883980501,27049.663314161167,24193.49069543136,11.96903860139516
CBD,16118.64845307991,4360.968453082619,29899.627873546553,-13780.979420466643,27.055422579486414
CND,100956.62265706397,6378.273902967504,42709.46839078079,58247.154266283185,6.317836051859263
DJN,7078.409995283777,898.4099952863579,25619.68103446847,-18541.271039184696,12.692257101311638
SJG,0.0,0.0,0.0,0.0,0.0
JBD,18261.258780592718,9510.302780590413,33454.58357277828,-15193.324792185567,52.07911948927395
JND,78334.84403103289,12516.567885324883,34169.57471262463,44165.26931840827,15.978289151078615
GWJ,8437.445201648647,1392.445201650727,29184.6367337002,-20747.191532051555,16.503161423539062
GBD,120745.39281474559,8665.444137025763,41279.486111088096,79465.9067036575,7.176625074482781
DGU,12674.253346057394,2024.2533460892312,44129.450670473474,-31455.19732441608,15.971381436200497
GND,82525.97938518846,4052.821577600352,51249.36206893695,31276.617316251508,4.910964532373355
BSN,54246.229877716054,1484.7798777231048,53384.335488475976,861.8943892400787,2.7371116501002057
USN,35606.02132747832,1118.0213274674788,41279.486111088096,-5673.464783609777,3.139978255881866
JJD,4052.9338020186483,1801.9244959034743,9254.884818002503,-5201.9510159838555,44.45975641166377
