final_energy,technology,supply_MWh
수소,전해조,5373742.848666335
열,CHP,14329559.553151064
열,기타,152743281.80764794
열,열,6972105.4704144
전력,CHP,17911949.44143883
전력,LNG,13431890.979725363
전력,석탄,336076181.09019566
전력,수력,14237985.599999998
전력,원자력,173220480.0
전력,태양광,61599942.36252942
전력,풍력,6545350.640779454
