Generator,bus,p_nom,p_nom_min,p_nom_extendable,marginal_cost,p_nom_opt
GWD_LNG_Fuel_Supply,GWD_LNG,0.0,0.0,True,0.0,431.0
GWJ_H2_H2_Fallback_Gen,GWJ_H2,0.0,0.0,True,1000000.0,0.0
GWJ_H_Fallback_Gen,GWJ_H,0.0,0.0,True,1000000.0,134.82191780000005
GWJ_LNG_Fuel_Supply,GWJ_LNG,0.0,0.0,True,0.0,115.0
ICN_H2_H2_Fallback_Gen,ICN_H2,0.0,0.0,True,1000000.0,0.0
ICN_H_Fallback_Gen,ICN_H,0.0,0.0,True,1000000.0,169.3662099999999
ICN_LNG_Fuel_Supply,ICN_LNG,0.0,0.0,True,0.0,338.0
JBD_H2_H2_Fallback_Gen,JBD_H2,0.0,0.0,True,1000000.0,0.0
JBD_H_Fallback_Gen,JBD_H,0.0,0.0,True,1000000.0,0.0
JBD_LNG_Fuel_Supply,JBD_LNG,0.0,0.0,True,0.0,0.0
JJD_H2_H2_Fallback_Gen,JJD_H2,0.0,0.0,True,1000000.0,0.0
JJD_H_Fallback_Gen,JJD_H,0.0,0.0,True,1000000.0,0.0
JJD_LNG_Fuel_Supply,JJD_LNG,0.0,0.0,True,0.0,0.0
JND_H2_H2_Fallback_Gen,JND_H2,0.0,0.0,True,1000000.0,0.0
JND_H_Fallback_Gen,JND_H,0.0,0.0,True,1000000.0,0.0
JND_LNG_Fuel_Supply,JND_LNG,0.0,0.0,True,0.0,312.0
SEL_H2_H2_Fallback_Gen,SEL_H2,0.0,0.0,True,1000000.0,0.0
SEL_H_Fallback_Gen,SEL_H,0.0,0.0,True,1000000.0,0.0
SEL_LNG_Fuel_Supply,SEL_LNG,0.0,0.0,True,0.0,0.0
SJN_H2_H2_Fallback_Gen,SJN_H2,0.0,0.0,True,1000000.0,0.0
SJN_H_Fallback_Gen,SJN_H,0.0,0.0,True,1000000.0,0.0
SJN_LNG_Fuel_Supply,SJN_LNG,0.0,0.0,True,0.0,0.0
USN_H2_H2_Fallback_Gen,USN_H2,0.0,0.0,True,1000000.0,0.0
USN_H_Fallback_Gen,USN_H,0.0,0.0,True,1000000.0,0.0
USN_LNG_Fuel_Supply,USN_LNG,0.0,0.0,True,0.0,0.0
BSN_H2_Slack_Failsafe,BSN_H2,0.0,0.0,True,1000000000.0,0.0
BSN_H_Slack_Failsafe,BSN_H,0.0,0.0,True,1000000000.0,0.0
CBD_H2_Slack_Failsafe,CBD_H2,0.0,0.0,True,1000000000.0,0.0
CBD_H_Slack_Failsafe,CBD_H,0.0,0.0,True,1000000000.0,0.0
CND_H2_Slack_Failsafe,CND_H2,0.0,0.0,True,1000000000.0,0.0
CND_H_Slack_Failsafe,CND_H,0.0,0.0,True,1000000000.0,0.0
DGU_H2_Slack_Failsafe,DGU_H2,0.0,0.0,True,1000000000.0,0.0
DGU_H_Slack_Failsafe,DGU_H,0.0,0.0,True,1000000000.0,0.0
DJN_H2_Slack_Failsafe,DJN_H2,0.0,0.0,True,1000000000.0,0.0
DJN_H_Slack_Failsafe,DJN_H,0.0,0.0,True,1000000000.0,0.0
GBD_H2_Slack_Failsafe,GBD_H2,0.0,0.0,True,1000000000.0,0.0
GBD_H_Slack_Failsafe,GBD_H,0.0,0.0,True,1000000000.0,0.0
GGD_H2_Slack_Failsafe,GGD_H2,0.0,0.0,True,1000000000.0,0.0
GGD_H_Slack_Failsafe,GGD_H,0.0,0.0,True,1000000000.0,0.0
GND_H2_Slack_Failsafe,GND_H2,0.0,0.0,True,1000000000.0,0.0
GND_H_Slack_Failsafe,GND_H,0.0,0.0,True,1000000000.0,0.0
GWD_H2_Slack_Failsafe,GWD_H2,0.0,0.0,True,1000000000.0,0.0
GWD_H_Slack_Failsafe,GWD_H,0.0,0.0,True,1000000000.0,0.0
GWJ_H2_Slack_Failsafe,GWJ_H2,0.0,0.0,True,1000000000.0,0.0
GWJ_H_Slack_Failsafe,GWJ_H,0.0,0.0,True,1000000000.0,0.0
ICN_H2_Slack_Failsafe,ICN_H2,0.0,0.0,True,1000000000.0,0.0
ICN_H_Slack_Failsafe,ICN_H,0.0,0.0,True,1000000000.0,0.0
JBD_H2_Slack_Failsafe,JBD_H2,0.0,0.0,True,1000000000.0,0.0
JBD_H_Slack_Failsafe,JBD_H,0.0,0.0,True,1000000000.0,0.0
JJD_H2_Slack_Failsafe,JJD_H2,0.0,0.0,True,1000000000.0,0.0
JJD_H_Slack_Failsafe,JJD_H,0.0,0.0,True,1000000000.0,0.0
JND_H2_Slack_Failsafe,JND_H2,0.0,0.0,True,1000000000.0,0.0
JND_H_Slack_Failsafe,JND_H,0.0,0.0,True,1000000000.0,0.0
SEL_H2_Slack_Failsafe,SEL_H2,0.0,0.0,True,1000000000.0,0.0
SEL_H_Slack_Failsafe,SEL_H,0.0,0.0,True,1000000000.0,0.0
SJN_H2_Slack_Failsafe,SJN_H2,0.0,0.0,True,1000000000.0,0.0
SJN_H_Slack_Failsafe,SJN_H,0.0,0.0,True,1000000000.0,0.0
USN_H2_Slack_Failsafe,USN_H2,0.0,0.0,True,1000000000.0,0.0
USN_H_Slack_Failsafe,USN_H,0.0,0.0,True,1000000000.0,0.0
