선로명,시작버스,종료버스,평균조류(MW),용량(MVA),이용률(%)
GWD_GGD1,GWD_EL,GGD_EL,2235.9114424578015,10000.0,22.359114424578014
GWD_GGD2,GWD_EL,GGD_EL,2235.9114424578015,10000.0,22.359114424578014
GWD_GGD3,GWD_EL,GGD_EL,2235.9114424578015,10000.0,22.359114424578014
GWD_GBD1,GWD_EL,GBD_EL,-1986.0996957307862,10000.0,19.86099695730786
GWD_GBD2,GWD_EL,GBD_EL,-1986.0996957307862,10000.0,19.86099695730786
GWD_GBD3,GWD_EL,GBD_EL,-1986.0996957307862,10000.0,19.86099695730786
GWD_CBD1,GWD_EL,CBD_EL,799.2973176701648,10000.0,7.992973176701648
GWD_CBD2,GWD_EL,CBD_EL,799.2973176701648,10000.0,7.992973176701648
GGD_SEL1,GGD_EL,SEL_EL,3752.7865564298204,10000.0,37.5278655642982
GGD_SEL2,GGD_EL,SEL_EL,3752.7865564298204,10000.0,37.5278655642982
GGD_ICN,GGD_EL,ICN_EL,1046.14815788006,10000.0,10.4614815788006
GGD_ICN1,GGD_EL,ICN_EL,1046.1481578800604,10000.0,10.461481578800603
GGD_ICN2,GGD_EL,ICN_EL,1046.14815788006,10000.0,10.4614815788006
GGD_CND1,GGD_EL,CND_EL,-2572.3423454318836,10000.0,25.723423454318834
GGD_CND2,GGD_EL,CND_EL,-2572.342345431883,10000.0,25.723423454318834
GGD_CND3,GGD_EL,CND_EL,-2572.342345431883,10000.0,25.723423454318834
GGD_CBD1,GGD_EL,CBD_EL,-2382.7359764061443,10000.0,23.82735976406144
GGD_CBD2,GGD_EL,CBD_EL,-2382.7359764061443,10000.0,23.82735976406144
GGD_CBD3,GGD_EL,CBD_EL,-2382.7359764061443,10000.0,23.82735976406144
GND_GBD1,GND_EL,GBD_EL,441.2705929058153,10000.0,4.412705929058153
GND_GBD2,GND_EL,GBD_EL,441.2705929058153,10000.0,4.412705929058153
GND_GBD3,GND_EL,GBD_EL,441.2705929058153,10000.0,4.412705929058153
GND_DGU1,GND_EL,DGU_EL,1487.272186450242,10000.0,14.87272186450242
GND_DGU2,GND_EL,DGU_EL,1487.272186450242,10000.0,14.87272186450242
GND_BSN1,GND_EL,BSN_EL,-2753.356614800398,10000.0,27.53356614800398
GND_BSN2,GND_EL,BSN_EL,-2753.356614800398,10000.0,27.53356614800398
GND_BSN3,GND_EL,BSN_EL,-2753.356614800398,10000.0,27.53356614800398
GND_USN1,GND_EL,USN_EL,-1036.9981263057068,10000.0,10.369981263057069
GND_USN2,GND_EL,USN_EL,-1036.9981263057068,10000.0,10.369981263057069
GND_USN3,GND_EL,USN_EL,-1036.9981263057068,10000.0,10.369981263057069
GND_JND1,GND_EL,JND_EL,1605.9269895988996,10000.0,16.059269895988994
GND_JND2,GND_EL,JND_EL,1605.9269895988996,10000.0,16.059269895988994
GND_JBD2,GND_EL,JBD_EL,3047.708807067757,10000.0,30.47708807067757
GBD_DGU1,GBD_EL,DGU_EL,324.65289489873504,10000.0,3.2465289489873506
GBD_DGU2,GBD_EL,DGU_EL,324.65289489873504,10000.0,3.2465289489873506
GBD_BSN3,GBD_EL,BSN_EL,-3458.096462811978,10000.0,34.58096462811978
GBD_USN1,GBD_EL,USN_EL,-1267.1016101438565,10000.0,12.671016101438564
GBD_USN2,GBD_EL,USN_EL,-1267.1016101438565,10000.0,12.671016101438564
GBD_USN3,GBD_EL,USN_EL,-1267.1016101438565,10000.0,12.671016101438564
GBD_CBD1,GBD_EL,CBD_EL,4213.9721695399785,10000.0,42.139721695399786
GBD_CBD2,GBD_EL,CBD_EL,4213.9721695399785,10000.0,42.139721695399786
GWJ_JND1,GWJ_EL,JND_EL,-1893.285285838437,10000.0,18.93285285838437
GWJ_JND2,GWJ_EL,JND_EL,-1893.285285838437,10000.0,18.93285285838437
GWJ_JBD1,GWJ_EL,JBD_EL,620.5235600775178,10000.0,6.205235600775178
GWJ_JBD2,GWJ_EL,JBD_EL,620.5235600775177,10000.0,6.205235600775176
DJN_SJN1,DJN_EL,SJN_EL,-421.83976875983717,10000.0,4.2183976875983715
DJN_SJN2,DJN_EL,SJN_EL,-421.83976875983717,10000.0,4.2183976875983715
DJN_CND1,DJN_EL,CND_EL,-273.15753915703516,10000.0,2.7315753915703516
DJN_CND2,DJN_EL,CND_EL,-273.15753915703516,10000.0,2.7315753915703516
DJN_CBD1,DJN_EL,CBD_EL,-463.2797169083944,10000.0,4.632797169083943
DJN_CBD2,DJN_EL,CBD_EL,-463.2797169083944,10000.0,4.632797169083943
BSN_USN1,BSN_EL,USN_EL,2752.8408140193415,10000.0,27.528408140193417
BSN_USN2,BSN_EL,USN_EL,2752.8408140193415,10000.0,27.528408140193417
BSN_USN3,BSN_EL,USN_EL,2752.8408140193415,10000.0,27.528408140193417
SJN_CND1,SJN_EL,CND_EL,-208.90879289609748,10000.0,2.0890879289609745
SJN_CND3,SJN_EL,CND_EL,-208.90879289609748,10000.0,2.0890879289609745
SJN_CBD1,SJN_EL,CBD_EL,-381.36286515792386,10000.0,3.8136286515792386
SJN_CBD2,SJN_EL,CBD_EL,-381.36286515792386,10000.0,3.8136286515792386
SJN_CBD3,SJN_EL,CBD_EL,-381.36286515792386,10000.0,3.8136286515792386
JND_JBD1,JND_EL,JBD_EL,1071.8772861588884,10000.0,10.718772861588883
JND_JBD2,JND_EL,JBD_EL,1071.8772861588884,10000.0,10.718772861588883
JND_JJD1,JND_EL,JJD_EL,328.38937019824147,10000.0,3.283893701982415
JND_JJD2,JND_EL,JJD_EL,328.38937019824147,10000.0,3.283893701982415
JBD_CND1,JBD_EL,CND_EL,1503.4722849317602,10000.0,15.034722849317603
JBD_CND2,JBD_EL,CND_EL,1503.4722849317602,10000.0,15.034722849317603
JBD_CBD2,JBD_EL,CBD_EL,1405.5846525831441,10000.0,14.055846525831441
CND_CBD1,CND_EL,CBD_EL,-116.79909473429407,10000.0,1.1679909473429406
CND_CBD2,CND_EL,CBD_EL,-116.79909473429407,10000.0,1.1679909473429406
CND_CBD3,CND_EL,CBD_EL,-116.79909473429407,10000.0,1.1679909473429406
