선로명,시작지역,종료지역,조류(MW),용량(MVA),이용률(%)
BSN_GND,부산광역시,경상남도,-89.1545475754982,5000.0,1.783090951509964
BSN_USN,부산광역시,울산광역시,187.5443180375307,5000.0,3.7508863607506138
DGU_GBD,대구광역시,경상북도,-1748.7448491127952,5000.0,34.974896982255906
DGU_GND,대구광역시,경상남도,-1842.0311011593699,5000.0,36.8406220231874
ICN_SEL,인천광역시,서울특별시,3424.3640116019124,5000.0,68.48728023203824
GWJ_JND,광주광역시,전라남도,-2158.7695862390506,5000.0,43.17539172478101
GWJ_JBD,광주광역시,전라북도,-209.63127358391463,5000.0,4.1926254716782925
DJN_SJN,대전광역시,SJN,-371.0234541127472,5000.0,7.420469082254943
GGD_SEL,경기도,서울특별시,3294.811717385113,5000.0,65.89623434770225
GGD_ICN,경기도,인천광역시,-129.5522942167997,5000.0,2.591045884335994
GGD_GWD,경기도,강원도,-4956.912574011994,5000.0,99.13825148023989
CBD_GGD,충청북도,경기도,4009.451843696744,5000.0,80.18903687393488
CBD_GWD,충청북도,강원도,-947.4607303152494,5000.0,18.949214606304988
CBD_GBD,충청북도,경상북도,-4090.0200283142462,5000.0,81.80040056628492
CBD_CND,충청북도,충청남도,-959.8393977613966,5000.0,19.196787955227933
CBD_DJN,충청북도,대전광역시,392.86030004363994,5000.0,7.857206000872799
CBD_SJN,충청북도,SJN,21.836845930892693,5000.0,0.4367369186178539
CND_GGD,충청남도,경기도,4969.2912414581415,5000.0,99.38582482916283
CND_JBD,충청남도,전라북도,-1614.2880571716166,5000.0,32.28576114343233
CND_SJN,충청남도,SJN,981.6762436922895,5000.0,19.63352487384579
CND_DJN,충청남도,대전광역시,1352.6996978050365,5000.0,27.05399395610073
JBD_JND,전라북도,전라남도,-1949.1383126551357,5000.0,38.98276625310271
GBD_GWD,경상북도,강원도,3142.5592979989956,5000.0,62.851185959979915
GBD_GND,경상북도,경상남도,-93.28625204657462,5000.0,1.8657250409314923
GBD_USN,경상북도,울산광역시,183.41261356645427,5000.0,3.6682522713290853
GND_JBD,경상남도,전라북도,1609.178825427806,5000.0,32.18357650855612
GND_JND,경상남도,전라남도,-339.9594872273291,5000.0,6.799189744546581
GND_USN,경상남도,울산광역시,276.69886561302894,5000.0,5.533977312260578
JJD_JND,제주특별자치도,전라남도,-593.8300246555247,2000.0,29.691501232776236
